created_at;suburb;time;status;location;area
Fri Feb 09 02:32:18 +0000 2024;Ascot;10:32:00; ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN
Fri Feb 09 02:32:18 +0000 2024;Perth Airport;10:32:00; ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN
Fri Feb 09 02:32:18 +0000 2024;Redcliffe;10:32:00; ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN
Fri Feb 09 02:32:18 +0000 2024;South Guildford;10:32:00; ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN
Fri Feb 09 02:32:18 +0000 2024;South Perth;10:32:00; ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN
Fri Feb 09 02:48:07 +0000 2024;Stratton;10:48:00; ADVICE;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN
Fri Feb 09 02:48:07 +0000 2024;Middle Swan;10:48:00; ADVICE;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN
Fri Feb 09 02:48:07 +0000 2024;Midvale;10:48:00; ADVICE;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN
Fri Feb 09 03:01:59 +0000 2024;Jarrahdale;11:01:00; ADVICE;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE
Fri Feb 09 03:01:59 +0000 2024;Casuarina;11:01:00; ADVICE;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE
Fri Feb 09 03:01:59 +0000 2024;Oldbury;11:01:00; ADVICE;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE
Fri Feb 09 03:01:59 +0000 2024;Serpentine;11:01:00; ADVICE;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE
Fri Feb 09 03:03:50 +0000 2024;Stirling;11:03:00; WATCH AND ACT;GREEN RANGE, KOJANEERUP SOUTH, METTLER and SOUTH STIRLING;CITY OF ALBANY
Fri Feb 09 03:06:27 +0000 2024;Bullsbrook;11:06:00; ADVICE;BULLSBROOK;CITY OF SWAN
Fri Feb 09 03:16:19 +0000 2024;Spearwood;11:16:00; WATCH AND ACT;SPEARWOOD;CITY OF COCKBURN
